ContactID Source,ContactID Match,Accuracy
3,503,Medium
8,508,High
9,509,High
10,510,High
12,512,Medium
11,511,Medium
13,513,Medium
14,514,Medium
5,505,Medium
15,515,Medium
16,516,Medium
17,517,High
20,520,High
18,518,Medium
19,519,Medium
22,522,High
21,521,Medium
23,523,Medium
24,524,High
25,525,Medium
27,527,Medium
26,526,Medium
28,528,High
29,529,High
31,531,High
30,530,Medium
32,532,High
33,533,High
36,328,High
34,534,Medium
35,535,Medium
39,539,High
37,537,Medium
38,538,Medium
40,540,High
41,541,High
42,542,Medium
44,544,Medium
43,543,Medium
45,545,High
46,546,High
48,548,High
47,547,Medium
49,549,Medium
50,550,Medium
51,551,Medium
52,552,Medium
53,553,Medium
54,554,Medium
55,555,Medium
57,557,High
56,556,Medium
59,559,High
60,560,Medium
61,561,Medium
62,562,High
63,563,High
65,565,High
64,564,Medium
66,566,High
67,567,Medium
68,568,Medium
69,569,Medium
70,570,Medium
71,571,Medium
72,572,Medium
73,573,High
1,501,Medium
74,574,Medium
75,575,Medium
76,576,High
77,577,High
79,579,High
78,578,High
80,580,High
82,582,High
81,581,Medium
83,583,Medium
85,585,High
86,586,High
84,584,Medium
87,587,Medium
89,589,High
88,588,Medium
90,590,High
91,591,Medium
92,592,Medium
93,593,Medium
94,594,High
95,595,High
96,596,High
97,597,High
98,598,High
99,599,Medium
101,601,High
103,603,High
104,604,High
105,605,High
106,606,High
107,607,High
6,506,Medium
110,610,High
112,612,High
111,611,High
114,614,High
116,616,High
118,618,High
117,617,Medium
119,619,High
120,620,High
121,621,High
125,625,High
124,624,High
126,626,High
127,627,High
129,629,High
131,631,High
135,635,High
139,639,High
146,646,High
153,653,High
154,654,High
155,362,High
155,655,High
155,862,High
156,656,High
158,658,High
159,659,High
160,373,High
161,661,High
163,663,High
164,664,High
166,666,High
167,667,High
169,669,High
2,502,Medium
173,673,High
170,670,High
176,676,High
179,679,High
184,684,High
189,689,High
192,692,High
193,693,High
194,694,High
195,695,High
198,698,High
203,703,High
208,708,High
209,709,High
210,710,High
212,712,High
213,713,High
214,714,High
217,717,High
218,718,High
221,721,High
223,291,High
223,723,High
223,791,High
224,724,High
225,725,High
227,727,High
231,731,High
232,732,High
235,735,High
237,737,High
239,739,High
242,742,High
246,746,High
247,747,High
248,748,High
250,750,High
253,753,High
258,758,High
259,759,High
260,760,High
262,762,High
263,763,High
265,765,High
267,767,High
275,775,High
270,770,High
278,778,High
281,781,High
282,782,High
286,786,High
287,787,High
289,789,High
290,790,High
